run_name,seed,phase,description,selection,crossover,mutation,n_elites,population_size,n_generations_max,n_generations_run,final_best_fitness,elapsed_s,stopped_early
p1_baseline,42,1,"Baseline - tournament k3, uniform xover, gaussian fixed, 5 elites",tournament_k3,uniform,gaussian_fixed,5,50,3000,3000,29.016758,1136.8,False
p1_baseline,43,1,"Baseline - tournament k3, uniform xover, gaussian fixed, 5 elites",tournament_k3,uniform,gaussian_fixed,5,50,3000,3000,29.316401,1165.5,False
p1_baseline,44,1,"Baseline - tournament k3, uniform xover, gaussian fixed, 5 elites",tournament_k3,uniform,gaussian_fixed,5,50,3000,3000,30.728035,1152.8,False
p2_elites_0,42,2,Elitism sweep - 0 elites,tournament_k3,uniform,gaussian_fixed,0,50,3000,1090,32.319767,486.9,True
p2_elites_0,43,2,Elitism sweep - 0 elites,tournament_k3,uniform,gaussian_fixed,0,50,3000,1050,33.230186,441.7,True
p2_elites_0,44,2,Elitism sweep - 0 elites,tournament_k3,uniform,gaussian_fixed,0,50,3000,1264,32.600826,577.3,True
p2_elites_1,42,2,Elitism sweep - 1 elites,tournament_k3,uniform,gaussian_fixed,1,50,3000,3000,31.11845,1278.3,False
p2_elites_1,43,2,Elitism sweep - 1 elites,tournament_k3,uniform,gaussian_fixed,1,50,3000,1316,32.372257,10362.9,True
p2_elites_1,44,2,Elitism sweep - 1 elites,tournament_k3,uniform,gaussian_fixed,1,50,3000,3000,30.56595,3029.5,False
p2_elites_3,42,2,Elitism sweep - 3 elites,tournament_k3,uniform,gaussian_fixed,3,50,3000,2775,31.328331,4370.9,True
p2_elites_3,43,2,Elitism sweep - 3 elites,tournament_k3,uniform,gaussian_fixed,3,50,3000,3000,30.45772,1161.8,False
p2_elites_3,44,2,Elitism sweep - 3 elites,tournament_k3,uniform,gaussian_fixed,3,50,3000,3000,30.4762,1195.8,False
p2_elites_5,42,2,Elitism sweep - 5 elites,tournament_k3,uniform,gaussian_fixed,5,50,3000,3000,29.016758,1192.4,False
p2_elites_5,43,2,Elitism sweep - 5 elites,tournament_k3,uniform,gaussian_fixed,5,50,3000,3000,29.316401,1174.1,False
p2_elites_5,44,2,Elitism sweep - 5 elites,tournament_k3,uniform,gaussian_fixed,5,50,3000,3000,30.728035,1143.5,False
p3_sel_tournament_k2,42,3,Selection sweep - tournament_k2,tournament_k2,uniform,gaussian_fixed,5,50,3000,3000,30.833626,1137.2,False
p3_sel_tournament_k2,43,3,Selection sweep - tournament_k2,tournament_k2,uniform,gaussian_fixed,5,50,3000,3000,30.097784,1960.1,False
p3_sel_tournament_k2,44,3,Selection sweep - tournament_k2,tournament_k2,uniform,gaussian_fixed,5,50,3000,3000,30.567793,1193.4,False
p3_sel_tournament_k5,42,3,Selection sweep - tournament_k5,tournament_k5,uniform,gaussian_fixed,5,50,3000,3000,28.225098,10126.0,False
p3_sel_tournament_k5,43,3,Selection sweep - tournament_k5,tournament_k5,uniform,gaussian_fixed,5,50,3000,3000,29.061136,1275.4,False
p3_sel_tournament_k5,44,3,Selection sweep - tournament_k5,tournament_k5,uniform,gaussian_fixed,5,50,3000,3000,27.768291,1298.4,False
p3_sel_tournament_k10,42,3,Selection sweep - tournament_k10,tournament_k10,uniform,gaussian_fixed,5,50,3000,3000,27.58077,4509.1,False
p3_sel_tournament_k10,43,3,Selection sweep - tournament_k10,tournament_k10,uniform,gaussian_fixed,5,50,3000,3000,27.241478,1189.9,False
p3_sel_tournament_k10,44,3,Selection sweep - tournament_k10,tournament_k10,uniform,gaussian_fixed,5,50,3000,3000,28.692265,1171.1,False
p3_sel_rank,42,3,Selection sweep - rank,rank,uniform,gaussian_fixed,5,50,3000,3000,31.178101,1113.9,False
p3_sel_rank,43,3,Selection sweep - rank,rank,uniform,gaussian_fixed,5,50,3000,2181,34.467846,791.0,True
p3_sel_rank,44,3,Selection sweep - rank,rank,uniform,gaussian_fixed,5,50,3000,3000,33.029781,1112.8,False
p4_xover_uniform,42,4,Crossover sweep - uniform,tournament_k10,uniform,gaussian_fixed,5,50,3000,3000,27.58077,1315.3,False
p4_xover_uniform,43,4,Crossover sweep - uniform,tournament_k10,uniform,gaussian_fixed,5,50,3000,3000,27.241478,1202.8,False
p4_xover_uniform,44,4,Crossover sweep - uniform,tournament_k10,uniform,gaussian_fixed,5,50,3000,3000,28.692265,1193.1,False
p4_xover_single_point,42,4,Crossover sweep - single_point,tournament_k10,single_point,gaussian_fixed,5,50,3000,3000,27.829851,1763.2,False
p4_xover_single_point,43,4,Crossover sweep - single_point,tournament_k10,single_point,gaussian_fixed,5,50,3000,3000,27.146969,1158.0,False
p4_xover_single_point,44,4,Crossover sweep - single_point,tournament_k10,single_point,gaussian_fixed,5,50,3000,3000,28.940279,1152.0,False
p4_xover_two_point,42,4,Crossover sweep - two_point,tournament_k10,two_point,gaussian_fixed,5,50,3000,3000,26.499329,1139.6,False
p4_xover_two_point,43,4,Crossover sweep - two_point,tournament_k10,two_point,gaussian_fixed,5,50,3000,3000,28.52132,1181.5,False
p4_xover_two_point,44,4,Crossover sweep - two_point,tournament_k10,two_point,gaussian_fixed,5,50,3000,3000,28.69141,1164.7,False
p4_xover_segment_shuffle,42,4,Crossover sweep - segment_shuffle,tournament_k10,segment_shuffle,gaussian_fixed,5,50,3000,3000,28.175091,1144.4,False
p4_xover_segment_shuffle,43,4,Crossover sweep - segment_shuffle,tournament_k10,segment_shuffle,gaussian_fixed,5,50,3000,3000,27.674631,2263.9,False
p4_xover_segment_shuffle,44,4,Crossover sweep - segment_shuffle,tournament_k10,segment_shuffle,gaussian_fixed,5,50,3000,3000,27.622444,1145.8,False
p4_xover_blend,42,4,Crossover sweep - blend,tournament_k10,blend,gaussian_fixed,5,50,3000,3000,28.138861,1367.3,False
p4_xover_blend,43,4,Crossover sweep - blend,tournament_k10,blend,gaussian_fixed,5,50,3000,3000,27.640635,1376.3,False
p4_xover_blend,44,4,Crossover sweep - blend,tournament_k10,blend,gaussian_fixed,5,50,3000,3000,27.408939,48308.0,False
p5_mut_gaussian_fixed,42,5,Mutation sweep - gaussian_fixed,tournament_k10,two_point,gaussian_fixed,5,50,3000,3000,26.499329,1171.5,False
p5_mut_gaussian_fixed,43,5,Mutation sweep - gaussian_fixed,tournament_k10,two_point,gaussian_fixed,5,50,3000,3000,28.52132,1378.0,False
p5_mut_gaussian_fixed,44,5,Mutation sweep - gaussian_fixed,tournament_k10,two_point,gaussian_fixed,5,50,3000,3000,28.69141,1777.2,False
p5_mut_gaussian_decay,42,5,Mutation sweep - gaussian_decay,tournament_k10,two_point,gaussian_decay,5,50,3000,3000,24.081757,1384.6,False
p5_mut_gaussian_decay,43,5,Mutation sweep - gaussian_decay,tournament_k10,two_point,gaussian_decay,5,50,3000,3000,25.737967,1277.1,False
p5_mut_gaussian_decay,44,5,Mutation sweep - gaussian_decay,tournament_k10,two_point,gaussian_decay,5,50,3000,3000,25.317753,1321.1,False
p5_mut_composite_gaussian,42,5,Mutation sweep - composite_gaussian,tournament_k10,two_point,composite_gaussian,5,50,3000,3000,27.43327,1294.7,False
p5_mut_composite_gaussian,43,5,Mutation sweep - composite_gaussian,tournament_k10,two_point,composite_gaussian,5,50,3000,3000,28.495502,1307.3,False
p5_mut_composite_gaussian,44,5,Mutation sweep - composite_gaussian,tournament_k10,two_point,composite_gaussian,5,50,3000,3000,28.642162,1276.0,False
p5_mut_creep_fixed,42,5,Mutation sweep - creep_fixed,tournament_k10,two_point,creep_fixed,5,50,3000,3000,28.385916,1127.9,False
p5_mut_creep_fixed,43,5,Mutation sweep - creep_fixed,tournament_k10,two_point,creep_fixed,5,50,3000,3000,27.406773,1230.7,False
p5_mut_creep_fixed,44,5,Mutation sweep - creep_fixed,tournament_k10,two_point,creep_fixed,5,50,3000,3000,28.766312,1187.6,False
p5_mut_creep_decay,42,5,Mutation sweep - creep_decay,tournament_k10,two_point,creep_decay,5,50,3000,3000,26.655806,1037.8,False
p5_mut_creep_decay,43,5,Mutation sweep - creep_decay,tournament_k10,two_point,creep_decay,5,50,3000,3000,24.932547,1054.8,False
p5_mut_creep_decay,44,5,Mutation sweep - creep_decay,tournament_k10,two_point,creep_decay,5,50,3000,3000,26.946692,1186.4,False
p5_mut_composite_creep,42,5,Mutation sweep - composite_creep,tournament_k10,two_point,composite_creep,5,50,3000,3000,27.561501,1048.0,False
p5_mut_composite_creep,43,5,Mutation sweep - composite_creep,tournament_k10,two_point,composite_creep,5,50,3000,3000,27.134125,1174.5,False
p5_mut_composite_creep,44,5,Mutation sweep - composite_creep,tournament_k10,two_point,composite_creep,5,50,3000,3000,28.236324,1270.6,False
p5_mut_composite_gaussian_decay,42,5,Mutation sweep - composite_gaussian_decay,tournament_k10,two_point,composite_gaussian_decay,5,50,3000,3000,25.835899,1108.4,False
p5_mut_composite_gaussian_decay,43,5,Mutation sweep - composite_gaussian_decay,tournament_k10,two_point,composite_gaussian_decay,5,50,3000,3000,25.630869,1194.6,False
p5_mut_composite_gaussian_decay,44,5,Mutation sweep - composite_gaussian_decay,tournament_k10,two_point,composite_gaussian_decay,5,50,3000,3000,25.912867,1212.6,False
p6_gaussian_decay_5k,43,6,Best config with 20000 generations,tournament_k10,two_point,gaussian_decay,5,50,20000,20000,21.62039,17831.2,False
p6_gaussian_decay_5k,44,6,Best config with 20000 generations,tournament_k10,two_point,gaussian_decay,5,50,20000,20000,22.873709,17886.2,False
p7_init_random,42,7,Init strategy sweep - random,tournament_k10,two_point,gaussian_decay,5,50,500,500,29.59379,433.9,False
p7_init_random,43,7,Init strategy sweep - random,tournament_k10,two_point,gaussian_decay,5,50,500,500,31.902037,425.4,False
p7_init_random,44,7,Init strategy sweep - random,tournament_k10,two_point,gaussian_decay,5,50,500,500,31.957956,431.8,False
p7_init_semi_transparent,42,7,Init strategy sweep - semi_transparent,tournament_k10,two_point,gaussian_decay,5,50,500,500,30.786959,702.2,False
p7_init_semi_transparent,43,7,Init strategy sweep - semi_transparent,tournament_k10,two_point,gaussian_decay,5,50,500,500,29.636883,342.1,False
p7_init_semi_transparent,44,7,Init strategy sweep - semi_transparent,tournament_k10,two_point,gaussian_decay,5,50,500,500,30.334389,301.2,False
